Districts data received (apylinkės iš kurių gauti duomenys),Number of voters (balsuotojų skaičius),Turnouts (balsų skaičius),Constituency No. (rinkimų apygardos nr.),Valid ballot papers (galiojančių biuletenių skaičius),Distircts (apylinkių skaičius),Invalid ballot papers percent (negaliojančių biuletenių procentas),Turnouts percent (balsavusiųjų procentas),Constituency (apygarda),Invalid ballot papers (negaliojančių biuletenių skaičius),Valid ballot papers percent (galiojančių biuletenių procentas)
16,52605,32178,1,31357,16,2.55,61.17,Naujamiesčio,821,97.45
14,40539,23590,2,22987,14,2.56,58.19,Senamiesčio,603,97.44
14,40850,24288,3,23549,14,3.04,59.46,Antakalnio,739,96.96
17,41710,24951,4,24185,17,3.07,59.82,Žirmūnų,766,96.93
11,40648,24281,5,23594,11,2.83,59.73,Fabijoniškių,687,97.17
14,41995,24460,6,23842,14,2.53,58.25,Šeškinės,618,97.47
11,42945,25442,7,24698,11,2.92,59.24,Justiniškių,744,97.08
16,43162,25699,8,25031,16,2.6,59.54,Karoliniškių,668,97.4
15,42340,23320,9,22613,15,3.03,55.08,Lazdynų,707,96.97
18,42704,20529,,19978,18,2.68,48.07,Naujosios Vilnios,551,97.32
13,39690,22175,1,21112,13,4.79,55.87,Šilainių,1063,95.21
20,42275,22473,2,21466,20,4.48,53.16,Aleksoto -  Vilijampolės,1007,95.52
15,29202,17224,3,16571,15,3.79,58.98,Centro,653,96.21
14,29911,17164,4,16322,14,4.91,57.38,Žaliakalnio,842,95.09
8,28964,16386,5,15710,8,4.13,56.57,Kalniečių,676,95.87
10,31015,17026,6,16221,10,4.73,54.9,Dainavos,805,95.27
12,29436,15990,7,15178,12,5.08,54.32,Pramonės,812,94.92
13,34436,17666,8,16777,13,5.03,51.3,Panemunės,889,94.97
23,41124,20480,9,19506,23,4.76,49.8,Danės,974,95.24
15,35278,16358,,15483,15,5.35,46.37,Baltijos,875,94.65
10,37105,15827,1,14987,10,5.31,42.65,Marių,840,94.69
17,39578,19100,2,18210,17,4.66,48.26,Pajūrio,890,95.34
12,30045,16701,3,15942,12,4.54,55.59,Aušros,759,95.46
12,31635,16787,4,15736,12,6.26,53.06,Saulės,1051,93.74
13,31736,17199,5,16392,13,4.69,54.19,Dainų,807,95.31
13,35995,19707,6,18781,13,4.7,54.75,Nevėžio,926,95.3
11,37072,20445,7,19402,11,5.1,55.15,Vakarinė,1043,94.9
33,37691,19222,8,18319,33,4.7,51.0,Aukštaitijos,903,95.3
15,35230,17780,9,16959,15,4.62,50.47,Marijampolės,821,95.38
17,38606,19913,,18925,17,4.96,51.58,Alytaus,988,95.04
31,42470,20213,1,19157,31,5.22,47.59,Gargždų,1056,94.78
33,38042,18934,2,17789,33,6.05,49.77,Šilutės - Pagėgių,1145,93.95
43,33163,17692,3,16664,43,5.81,53.35,Šilalės - Šilutės,1028,94.19
30,35194,16625,4,15816,30,4.87,47.24,Tauragės,809,95.13
37,40157,19535,5,18647,37,4.55,48.65,Plungės - Rietavo,888,95.45
39,34195,16725,6,15931,39,4.75,48.91,Kretingos,794,95.25
44,31737,14433,7,13808,44,4.33,45.48,Skuodo  - Mažeikių,625,95.67
16,35448,17469,8,16690,16,4.46,49.28,Mažeikių,779,95.54
41,29161,15026,9,14344,41,4.54,51.53,Akmenės - Joniškio,682,95.46
32,39521,19087,,18289,32,4.18,48.3,Telšių,798,95.82
41,29239,14250,1,13667,41,4.09,48.74,Kelmės,583,95.91
46,31875,20301,2,19287,46,4.99,63.69,Raseinių,1014,95.01
34,35968,19414,3,18617,34,4.11,53.98,Kėdainių,797,95.89
42,35922,18148,4,17356,42,4.36,50.52,Radviliškio,792,95.64
37,34446,17427,5,16608,37,4.7,50.59,Šiaulių kaimiškoji,819,95.3
55,33478,17062,6,16291,55,4.52,50.96,Pakruojo - Joniškio,771,95.48
48,35306,17096,7,16388,48,4.14,48.42,Pasvalio - Panevėžio,708,95.86
42,35565,17999,8,17280,42,3.99,50.61,Biržų - Kupiškio,719,96.01
50,33456,17757,9,17043,50,4.02,53.08,Anykščių - Kupiškio,714,95.98
39,30689,16910,,16253,39,3.89,55.1,Rokiškio,657,96.11
30,37709,20228,1,19461,30,3.79,53.64,Utenos,767,96.21
40,35386,16939,2,16327,40,3.61,47.87,Zarasų - Visagino,612,96.39
44,29120,15893,3,15220,44,4.23,54.58,Ignalinos - Švenčionių,673,95.77
36,31493,15996,4,15386,36,3.81,50.79,Molėtų - Švenčionių,610,96.19
45,43574,26082,5,25132,45,3.64,59.86,Širvintų - Vilniaus,950,96.36
41,42897,24765,6,23791,41,3.93,57.73,Vilniaus - Šalčininkų,974,96.07
22,42925,22390,7,21622,22,3.43,52.16,Vilniaus - Trakų,768,96.57
33,36362,18927,8,18098,33,4.38,52.05,Trakų - Elektrėnų,829,95.62
36,41219,20263,9,19473,36,3.9,49.16,Kaišiadorių - Elektrėnų,790,96.1
26,38038,18771,,18096,26,3.6,49.35,Jonavos,675,96.4
32,34754,18014,1,17224,32,4.39,51.83,Ukmergės,790,95.61
35,30164,14905,2,14250,35,4.39,49.41,Jurbarko,655,95.61
55,38113,17623,3,16743,55,4.99,46.24,Suvalkijos,880,95.01
37,30401,15251,4,14580,37,4.4,50.17,Šakių,671,95.6
42,38897,20971,5,20063,42,4.33,53.91,Kauno - Kėdainių,908,95.67
26,42663,23581,6,22502,26,4.58,55.27,Kauno kaimiškoji,1079,95.42
33,29890,16020,7,15023,33,6.22,53.6,Prienų - Birštono,997,93.78
41,34975,17222,8,16451,41,4.48,49.24,Vilkaviškio,771,95.52
52,38918,20174,9,19235,52,4.65,51.84,Dzūkijos,939,95.35
45,31498,16992,,16108,45,5.2,53.95,Varėnos - Eišiškių,884,94.8
44,39009,20830,1,19877,44,4.58,53.4,Lazdijų - Druskininkų,953,95.42
16,52605,32178,1,31357,16,2.55,61.17,Naujamiesčio,821,97.45
14,40539,23590,2,22987,14,2.56,58.19,Senamiesčio,603,97.44
14,40850,24288,3,23549,14,3.04,59.46,Antakalnio,739,96.96
17,41710,24951,4,24185,17,3.07,59.82,Žirmūnų,766,96.93
11,40648,24281,5,23594,11,2.83,59.73,Fabijoniškių,687,97.17
14,41995,24460,6,23842,14,2.53,58.25,Šeškinės,618,97.47
11,42945,25442,7,24698,11,2.92,59.24,Justiniškių,744,97.08
16,43162,25699,8,25031,16,2.6,59.54,Karoliniškių,668,97.4
15,42340,23320,9,22613,15,3.03,55.08,Lazdynų,707,96.97
18,42704,20529,,19978,18,2.68,48.07,Naujosios Vilnios,551,97.32
13,39690,22175,1,21112,13,4.79,55.87,Šilainių,1063,95.21
20,42275,22473,2,21466,20,4.48,53.16,Aleksoto -  Vilijampolės,1007,95.52
15,29202,17224,3,16571,15,3.79,58.98,Centro,653,96.21
14,29911,17164,4,16322,14,4.91,57.38,Žaliakalnio,842,95.09
8,28964,16386,5,15710,8,4.13,56.57,Kalniečių,676,95.87
10,31015,17026,6,16221,10,4.73,54.9,Dainavos,805,95.27
12,29436,15990,7,15178,12,5.08,54.32,Pramonės,812,94.92
13,34436,17666,8,16777,13,5.03,51.3,Panemunės,889,94.97
23,41124,20480,9,19506,23,4.76,49.8,Danės,974,95.24
15,35278,16358,,15483,15,5.35,46.37,Baltijos,875,94.65
10,37105,15827,1,14987,10,5.31,42.65,Marių,840,94.69
17,39578,19100,2,18210,17,4.66,48.26,Pajūrio,890,95.34
12,30045,16701,3,15942,12,4.54,55.59,Aušros,759,95.46
12,31635,16787,4,15736,12,6.26,53.06,Saulės,1051,93.74
13,31736,17199,5,16392,13,4.69,54.19,Dainų,807,95.31
13,35995,19707,6,18781,13,4.7,54.75,Nevėžio,926,95.3
11,37072,20445,7,19402,11,5.1,55.15,Vakarinė,1043,94.9
33,37691,19222,8,18319,33,4.7,51.0,Aukštaitijos,903,95.3
15,35230,17780,9,16959,15,4.62,50.47,Marijampolės,821,95.38
17,38606,19913,,18925,17,4.96,51.58,Alytaus,988,95.04
31,42470,20213,1,19157,31,5.22,47.59,Gargždų,1056,94.78
33,38042,18934,2,17789,33,6.05,49.77,Šilutės - Pagėgių,1145,93.95
43,33163,17692,3,16664,43,5.81,53.35,Šilalės - Šilutės,1028,94.19
30,35194,16625,4,15816,30,4.87,47.24,Tauragės,809,95.13
37,40157,19535,5,18647,37,4.55,48.65,Plungės - Rietavo,888,95.45
39,34195,16725,6,15931,39,4.75,48.91,Kretingos,794,95.25
44,31737,14433,7,13808,44,4.33,45.48,Skuodo  - Mažeikių,625,95.67
16,35448,17469,8,16690,16,4.46,49.28,Mažeikių,779,95.54
41,29161,15026,9,14344,41,4.54,51.53,Akmenės - Joniškio,682,95.46
32,39521,19087,,18289,32,4.18,48.3,Telšių,798,95.82
41,29239,14250,1,13667,41,4.09,48.74,Kelmės,583,95.91
46,31875,20301,2,19287,46,4.99,63.69,Raseinių,1014,95.01
34,35968,19414,3,18617,34,4.11,53.98,Kėdainių,797,95.89
42,35922,18148,4,17356,42,4.36,50.52,Radviliškio,792,95.64
37,34446,17427,5,16608,37,4.7,50.59,Šiaulių kaimiškoji,819,95.3
55,33478,17062,6,16291,55,4.52,50.96,Pakruojo - Joniškio,771,95.48
48,35306,17096,7,16388,48,4.14,48.42,Pasvalio - Panevėžio,708,95.86
42,35565,17999,8,17280,42,3.99,50.61,Biržų - Kupiškio,719,96.01
50,33456,17757,9,17043,50,4.02,53.08,Anykščių - Kupiškio,714,95.98
39,30689,16910,,16253,39,3.89,55.1,Rokiškio,657,96.11
30,37709,20228,1,19461,30,3.79,53.64,Utenos,767,96.21
40,35386,16939,2,16327,40,3.61,47.87,Zarasų - Visagino,612,96.39
44,29120,15893,3,15220,44,4.23,54.58,Ignalinos - Švenčionių,673,95.77
36,31493,15996,4,15386,36,3.81,50.79,Molėtų - Švenčionių,610,96.19
45,43574,26082,5,25132,45,3.64,59.86,Širvintų - Vilniaus,950,96.36
41,42897,24765,6,23791,41,3.93,57.73,Vilniaus - Šalčininkų,974,96.07
22,42925,22390,7,21622,22,3.43,52.16,Vilniaus - Trakų,768,96.57
33,36362,18927,8,18098,33,4.38,52.05,Trakų - Elektrėnų,829,95.62
36,41219,20263,9,19473,36,3.9,49.16,Kaišiadorių - Elektrėnų,790,96.1
26,38038,18771,,18096,26,3.6,49.35,Jonavos,675,96.4
32,34754,18014,1,17224,32,4.39,51.83,Ukmergės,790,95.61
35,30164,14905,2,14250,35,4.39,49.41,Jurbarko,655,95.61
55,38113,17623,3,16743,55,4.99,46.24,Suvalkijos,880,95.01
37,30401,15251,4,14580,37,4.4,50.17,Šakių,671,95.6
42,38897,20971,5,20063,42,4.33,53.91,Kauno - Kėdainių,908,95.67
26,42663,23581,6,22502,26,4.58,55.27,Kauno kaimiškoji,1079,95.42
33,29890,16020,7,15023,33,6.22,53.6,Prienų - Birštono,997,93.78
41,34975,17222,8,16451,41,4.48,49.24,Vilkaviškio,771,95.52
52,38918,20174,9,19235,52,4.65,51.84,Dzūkijos,939,95.35
45,31498,16992,,16108,45,5.2,53.95,Varėnos - Eišiškių,884,94.8
44,39009,20830,1,19877,44,4.58,53.4,Lazdijų - Druskininkų,953,95.42
